address,totalAllocation,name
0x742d35Cc6634C0532925a3b8D4b9B4c8F99E9B4d,1000,Investor Alpha
0x8ba1f109551bD432803012645Hac136c31B9F140,500,Investor Beta  
0x96216849c49358B10257cb55b28eA603c874b05E0,2000,Investor Gamma
0x306469457266CBb7c219489b36C7AE3c8C5C2f72,750,Investor Delta
0x9CAF9E0F4B31A7F5B1b0B7E9bBF8f5b8a7c6D5F2,1500,Investor Epsilon
0x7C91E2b4A2e8F8b6B3F5a2E8F4A9B5C7D3E4F100,300,Investor Zeta
0x4B3E5D8C9A7F6E2B1D0C8A9F5E3B7D4A6C8E9F0,1200,Investor Eta
0x1F8D6A3C5E7B9D4F2A6C8E1B5F9D3A7C5E8B2F0,800,Investor Theta
0x5A7C9E2F4D6B8A1C3E5F7D9B2A4C6E8F1D3B500,2500,Investor Iota
0x3E6D8F1A4C7B9E2F5D8A1C4B7E9F2A5C8D1F30,950,Investor Kappa 
