address,amount,cliff,duration,revocable
0x1111111111111111111111111111111111111111,1000,0,365,true
0x2222222222222222222222222222222222222222,2000,30,365,true
0x3333333333333333333333333333333333333333,1500,0,180,false
0x4444444444444444444444444444444444444444,5000,60,365,true
0x5555555555555555555555555555555555555555,800,0,365,true
0x6666666666666666666666666666666666666666,1200,15,365,true
0x7777777777777777777777777777777777777777,3000,0,730,true
0x8888888888888888888888888888888888888888,900,0,365,false
0x9999999999999999999999999999999999999999,1800,45,365,true
0xAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2500,0,365,true 
